CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,TenureBucket,Exited
637.0,Germany,Female,39.0,3,109698.41,1,1,1,88391.29,Mid,1
622.0,France,Male,59.0,5,119380.37,1,1,1,60429.43,Mid,0
698.0,Germany,Male,52.0,8,96781.39,1,1,1,153373.71,Loyal,0
611.0,Germany,Female,49.0,9,115488.52,2,1,1,138656.81,Loyal,1
546.0,France,Male,34.0,4,165363.31,2,1,1,25744.13,Mid,1
669.0,France,Female,42.0,9,0.0,2,0,0,135630.32,Loyal,0
599.0,France,Female,41.0,1,0.0,2,1,0,96069.82,New,0
544.0,France,Female,33.0,6,0.0,2,1,1,124113.04,Loyal,0
758.0,France,Female,42.0,7,0.0,2,0,1,76209.56,Loyal,0
790.0,Spain,Female,41.0,7,109508.68,1,0,0,86776.38,Loyal,0
741.0,France,Female,36.0,3,0.0,2,1,1,89804.83,Mid,0
780.0,France,Male,62.0,10,121313.88,1,0,1,64872.33,Loyal,0
559.0,France,Female,43.0,1,0.0,2,1,1,196645.87,New,0
730.0,Spain,Male,62.0,5,112181.08,1,0,1,61513.87,Mid,0
719.0,Spain,Female,32.0,7,0.0,1,0,0,76264.27,Loyal,0
737.0,France,Male,43.0,0,80090.93,1,1,0,39920.0,New,1
826.0,France,Female,30.0,5,0.0,2,0,1,157397.57,Mid,0
710.0,France,Male,21.0,4,109130.96,2,1,1,56191.99,Mid,0
671.0,France,Female,38.0,6,132129.72,1,0,1,76068.95,Loyal,0
645.0,Germany,Male,28.0,7,117466.03,2,1,1,34490.06,Loyal,0
792.0,Germany,Male,36.0,5,115725.24,2,0,0,1871.25,Mid,0
756.0,Spain,Male,29.0,2,117412.19,2,1,0,4888.91,New,0
541.0,France,Male,46.0,6,0.0,2,1,1,83456.67,Loyal,0
682.0,Germany,Male,62.0,6,122029.15,1,1,1,50783.88,Loyal,0
616.0,France,Male,31.0,1,0.0,2,1,1,54706.75,New,0
412.0,France,Male,29.0,5,0.0,2,0,0,12510.53,Mid,0
627.0,France,Female,55.0,2,159441.27,1,1,0,100686.11,New,1
837.0,Spain,Male,31.0,9,104678.62,1,0,1,50972.6,Loyal,0
698.0,France,Female,37.0,2,166178.02,2,1,1,71972.95,New,0
670.0,Germany,Female,32.0,4,102954.68,2,0,1,134942.45,Mid,0
604.0,France,Male,40.0,1,84315.02,1,0,0,36209.1,New,0
660.0,France,Female,43.0,1,0.0,1,0,1,112026.1,New,1
575.0,Spain,Male,41.0,2,100062.39,1,0,0,126307.25,New,0
671.0,Spain,Female,42.0,3,0.0,2,1,1,128449.33,Mid,0
579.0,Germany,Female,42.0,3,137560.38,2,1,1,85424.34,Mid,0
798.0,France,Male,34.0,9,154495.79,1,1,0,191395.88,Loyal,0
616.0,France,Male,18.0,6,0.0,2,1,1,27308.58,Loyal,0
735.0,France,Male,49.0,5,121973.28,1,1,0,148804.36,Mid,0
655.0,France,Female,47.0,10,0.0,2,1,0,167778.62,Loyal,0
614.0,France,Male,49.0,1,0.0,2,1,0,192440.54,New,0
575.0,Spain,Female,26.0,7,0.0,2,1,0,112507.63,Loyal,0
494.0,Germany,Female,38.0,7,174937.64,1,1,0,40084.32,Loyal,0
730.0,Spain,Male,29.0,2,0.0,2,1,0,14174.09,New,0
782.0,Spain,Male,52.0,4,0.0,1,1,1,52759.82,Mid,1
677.0,Germany,Male,34.0,3,126729.41,1,1,1,26106.39,Mid,1
610.0,France,Male,40.0,9,0.0,1,1,1,149602.54,Loyal,0
482.0,France,Female,35.0,2,133111.73,1,0,1,79957.95,New,0
645.0,Germany,Female,37.0,2,136925.09,2,0,1,153400.24,New,0
488.0,France,Female,36.0,0,0.0,2,1,0,136675.22,New,0
652.0,Germany,Female,58.0,3,116353.2,2,0,1,193502.9,Mid,0
597.0,Spain,Female,26.0,7,0.0,2,1,0,110253.2,Loyal,0
634.0,Germany,Female,31.0,8,76798.92,1,0,0,196021.73,Loyal,0
752.0,France,Female,41.0,8,0.0,2,1,0,139844.04,Loyal,1
613.0,France,Male,47.0,6,146034.74,1,1,1,77146.14,Loyal,0
769.0,Germany,Male,60.0,9,148846.39,1,1,0,192831.67,Loyal,1
479.0,Germany,Female,30.0,7,143964.36,2,1,0,41879.99,Loyal,0
579.0,Germany,Male,31.0,6,139729.54,1,0,1,135815.38,Loyal,0
571.0,France,Male,40.0,5,0.0,2,0,0,72849.29,Mid,0
769.0,Germany,Male,34.0,7,115101.5,1,0,0,57841.89,Loyal,1
632.0,France,Male,43.0,2,100013.51,1,1,0,24275.32,New,0
605.0,France,Male,36.0,7,128829.25,1,1,0,190588.59,Loyal,0
638.0,Germany,Male,27.0,4,135096.05,1,1,1,186523.72,Mid,1
711.0,Spain,Male,36.0,8,0.0,2,1,0,55207.41,Loyal,0
580.0,France,Male,31.0,2,0.0,2,0,1,64014.24,New,0
645.0,Germany,Male,49.0,4,160133.88,1,0,1,88391.97,Mid,0
714.0,Spain,Male,33.0,8,122017.19,1,0,0,162515.17,Loyal,0
542.0,France,Male,34.0,8,101116.06,1,1,0,196395.05,Loyal,0
774.0,France,Female,35.0,3,121418.62,1,1,1,24400.37,Mid,0
765.0,Germany,Female,46.0,8,119492.88,2,0,1,166896.01,Loyal,1
655.0,France,Female,34.0,3,0.0,2,1,0,159638.77,Mid,0
669.0,France,Female,31.0,6,113000.66,1,1,0,40467.82,Loyal,0
668.0,Spain,Male,32.0,1,134446.04,1,0,1,111241.37,New,0
684.0,Germany,Male,37.0,4,138476.41,2,1,1,52367.29,Mid,0
756.0,Spain,Male,19.0,4,130274.22,1,1,1,133535.29,Mid,0
650.0,Spain,Male,62.0,0,0.0,1,1,1,175380.77,New,0
574.0,Spain,Female,28.0,7,0.0,2,0,0,185660.3,Loyal,0
820.0,France,Female,49.0,1,0.0,2,1,1,119087.25,New,0
665.0,France,Female,34.0,5,67816.72,1,1,1,29641.58,Mid,0
646.0,France,Male,40.0,5,93680.43,2,1,1,179473.26,Mid,0
703.0,France,Female,33.0,8,190566.65,1,1,1,79997.14,Loyal,0
457.0,Spain,Male,44.0,7,0.0,2,0,0,185992.36,Loyal,0
739.0,Germany,Male,58.0,1,110597.76,1,0,1,160122.66,New,1
809.0,France,Female,24.0,4,0.0,2,1,0,193518.76,Mid,0
850.0,Germany,Male,41.0,1,176958.46,2,0,1,125806.3,New,0
639.0,Germany,Female,41.0,5,98635.77,1,1,0,199970.74,Mid,0
629.0,Spain,Female,44.0,6,125512.98,2,0,0,79082.76,Loyal,0
651.0,France,Female,39.0,8,0.0,1,1,0,137452.57,Loyal,0
731.0,France,Female,52.0,10,0.0,1,1,1,24998.75,Loyal,1
486.0,France,Male,62.0,9,97009.15,1,1,1,85101.0,Loyal,0
672.0,France,Female,34.0,8,0.0,2,1,1,16245.25,Loyal,0
608.0,France,Female,47.0,6,0.0,1,1,1,126012.57,Loyal,0
660.0,Spain,Male,38.0,6,109869.32,1,1,1,154641.91,Loyal,0
640.0,Germany,Male,48.0,1,111599.32,1,0,1,135995.58,New,0
686.0,France,Female,41.0,10,0.0,1,1,1,144272.71,Loyal,1
665.0,France,Male,33.0,2,101286.11,1,1,1,159840.51,New,0
514.0,France,Male,26.0,1,0.0,2,0,0,121551.93,New,0
842.0,France,Male,29.0,8,0.0,2,1,1,123437.05,Loyal,0
739.0,France,Female,20.0,4,133800.98,1,0,1,150245.81,Mid,0
588.0,France,Female,24.0,0,0.0,2,1,1,140586.08,New,0
751.0,France,Female,48.0,4,0.0,1,0,1,30165.06,Mid,1
487.0,Spain,Female,36.0,1,140137.15,1,1,0,194073.33,New,0
773.0,France,Female,50.0,4,0.0,2,1,0,129372.94,Mid,0
631.0,France,Female,31.0,8,137687.72,1,1,0,190067.12,Loyal,0
550.0,Germany,Male,29.0,9,145294.08,2,1,0,147484.13,Loyal,0
469.0,Spain,Male,35.0,5,0.0,2,1,0,186490.37,Mid,0
593.0,France,Male,33.0,1,0.0,2,0,0,9984.4,New,0
559.0,France,Male,62.0,6,118756.62,1,1,1,20367.68,Loyal,0
538.0,Germany,Male,39.0,7,108055.1,2,1,0,27231.26,Loyal,0
546.0,Germany,Female,52.0,1,106074.89,1,1,1,23548.45,New,1
474.0,Germany,Female,37.0,5,142688.57,2,1,1,110953.33,Mid,0
753.0,France,Male,46.0,8,0.0,3,1,0,90747.94,Loyal,1
425.0,France,Male,39.0,4,0.0,2,1,0,197226.32,Mid,0
798.0,France,Female,37.0,4,111723.08,1,1,1,83478.12,Mid,0
647.0,Germany,Male,37.0,3,116509.99,1,1,1,149517.71,Mid,1
615.0,Spain,Female,29.0,7,143330.56,2,1,1,126396.01,Loyal,0
720.0,France,Male,26.0,10,51962.91,2,1,0,45507.24,Loyal,0
733.0,France,Male,42.0,9,120094.93,1,1,0,184056.45,Loyal,0
712.0,France,Male,33.0,2,182888.08,1,1,0,3061.0,New,0
649.0,Spain,Male,36.0,8,0.0,2,1,0,161668.15,Loyal,0
510.0,France,Female,22.0,3,156834.34,1,0,0,44374.44,Mid,0
661.0,France,Male,26.0,8,0.0,2,0,0,196875.87,Loyal,0
784.0,Spain,Female,40.0,8,0.0,2,1,0,108891.3,Loyal,0
588.0,Spain,Male,34.0,10,0.0,2,1,0,79078.91,Loyal,0
651.0,Germany,Male,29.0,3,121890.06,1,1,0,54530.51,Mid,1
684.0,France,Female,38.0,5,133189.4,1,0,0,127388.06,Mid,0
812.0,France,Male,29.0,6,0.0,2,0,0,168023.6,Loyal,0
738.0,France,Male,35.0,5,161274.05,2,1,0,181429.87,Mid,0
804.0,Germany,Female,33.0,10,138335.96,1,1,1,80483.76,Loyal,0
600.0,France,Female,32.0,1,78535.25,1,1,0,64349.6,New,0
813.0,Germany,Female,36.0,6,98088.09,1,0,1,26687.22,Loyal,1
793.0,France,Male,39.0,3,137817.52,1,0,0,83997.79,Mid,0
727.0,France,Male,18.0,4,133550.67,1,1,1,46941.41,Mid,0
716.0,Germany,Female,30.0,2,205770.78,2,0,0,65464.66,New,0
712.0,Spain,Female,29.0,7,77919.78,1,1,0,122547.58,Loyal,0
520.0,Spain,Male,45.0,7,107023.03,1,1,0,32903.93,Loyal,0
650.0,France,Female,62.0,7,142028.36,1,1,0,32275.09,Loyal,1
547.0,Spain,Female,22.0,7,141287.15,1,1,0,118142.79,Loyal,0
811.0,France,Male,40.0,1,101514.89,1,1,1,121765.0,New,0
525.0,Spain,Male,33.0,5,0.0,2,1,0,161002.29,Mid,0
639.0,Spain,Female,28.0,8,97840.72,1,1,1,178222.77,Loyal,0
744.0,France,Female,39.0,6,0.0,1,0,0,10662.58,Loyal,0
597.0,France,Female,29.0,5,0.0,2,1,1,174825.57,Mid,0
559.0,France,Female,62.0,9,0.0,1,1,1,122996.76,Loyal,0
712.0,France,Female,27.0,2,133009.51,1,1,0,126809.15,New,0
702.0,Spain,Female,26.0,4,135219.57,1,0,1,59747.63,Mid,0
649.0,France,Male,39.0,3,113096.41,1,1,1,60335.24,Mid,0
553.0,Spain,Female,48.0,3,0.0,1,0,1,30730.95,Mid,1
684.0,France,Male,38.0,4,0.0,3,1,0,75609.84,Mid,0
729.0,France,Female,38.0,7,0.0,2,0,0,45779.9,Loyal,0
442.0,France,Male,34.0,4,0.0,2,1,0,68343.08,Mid,0
626.0,France,Male,21.0,1,0.0,2,1,0,66232.23,New,0
768.0,Germany,Male,48.0,3,122831.58,1,1,1,24533.89,Mid,1
637.0,France,Male,40.0,2,133463.1,1,0,1,93165.34,New,0
774.0,Spain,Male,32.0,9,0.0,2,1,0,10604.48,Loyal,0
673.0,France,Female,42.0,4,0.0,2,1,0,121440.8,Mid,0
763.0,France,Male,40.0,3,0.0,2,1,0,134281.11,Mid,0
547.0,Germany,Male,41.0,3,151191.31,1,1,0,175295.89,Mid,1
757.0,Spain,Male,44.0,5,140856.16,2,1,0,158735.1,Mid,0
706.0,France,Male,54.0,9,117444.51,1,1,1,186238.85,Loyal,0
580.0,France,Female,23.0,5,113923.81,2,0,0,196241.43,Mid,0
724.0,Germany,Female,35.0,0,171982.95,2,0,1,167313.07,New,0
767.0,Germany,Male,20.0,3,119714.25,2,0,1,150135.38,Mid,0
590.0,Spain,Female,23.0,7,0.0,2,1,0,196789.9,Loyal,0
604.0,Spain,Male,41.0,3,0.0,1,0,0,11819.84,Mid,0
764.0,France,Male,41.0,7,0.0,2,0,0,134878.34,Loyal,0
762.0,Germany,Male,35.0,1,117458.51,1,0,1,178361.48,New,1
708.0,Spain,Female,35.0,8,122570.69,1,0,0,199005.88,Loyal,0
779.0,France,Male,32.0,10,80728.15,1,1,0,86306.75,Loyal,0
503.0,Germany,Male,42.0,9,153279.39,1,1,1,151336.96,Loyal,0
832.0,Germany,Female,40.0,9,107648.94,2,1,1,134638.97,Loyal,0
710.0,France,Female,32.0,3,0.0,1,1,0,94790.34,Mid,0
427.0,France,Male,37.0,5,0.0,2,1,1,121485.1,Mid,0
763.0,France,Female,58.0,9,187911.55,1,0,1,35825.18,Loyal,0
553.0,Germany,Male,46.0,3,82291.1,1,1,0,112549.99,Mid,1
573.0,France,Male,31.0,2,0.0,2,1,1,91957.39,New,0
850.0,Germany,Male,51.0,4,124425.99,1,0,0,118545.49,Mid,1
757.0,France,Male,57.0,3,89079.41,1,1,1,53179.21,Mid,1
507.0,Germany,Male,36.0,9,118214.32,3,1,0,119110.03,Loyal,1
696.0,France,Male,52.0,6,139781.06,1,1,0,27445.4,Loyal,1
775.0,France,Male,40.0,9,126212.64,1,1,0,70196.57,Loyal,0
695.0,Spain,Male,39.0,4,65521.2,1,1,1,1243.97,Mid,0
691.0,France,Male,28.0,1,0.0,2,0,0,92865.41,New,0
547.0,France,Male,43.0,1,92350.36,1,0,1,80262.91,New,0
445.0,Spain,Male,45.0,10,0.0,2,0,1,90977.48,Loyal,0
696.0,Germany,Male,32.0,4,84421.62,1,0,1,52314.71,Mid,0
682.0,France,Female,37.0,8,148580.12,1,1,0,35179.18,Loyal,0
696.0,France,Female,30.0,8,0.0,2,1,1,196134.44,Loyal,0
636.0,Germany,Male,49.0,6,113599.74,2,1,0,158887.09,Loyal,1
631.0,Spain,Male,55.0,9,99685.06,1,1,0,114474.98,Loyal,0
736.0,Germany,Male,46.0,5,130812.91,1,1,1,77981.54,Mid,1
624.0,France,Female,62.0,4,170252.05,3,1,1,73679.59,Mid,1
771.0,Spain,Female,41.0,5,0.0,2,0,1,92914.67,Mid,0
794.0,France,Female,41.0,7,0.0,2,1,1,74275.08,Loyal,0
763.0,Spain,Male,62.0,9,148564.66,1,0,1,87236.4,Loyal,0
707.0,France,Male,29.0,4,0.0,2,1,0,139953.94,Mid,0
643.0,France,Male,45.0,5,0.0,1,1,0,142513.5,Mid,1
654.0,France,Male,55.0,3,87485.67,1,1,1,3299.01,Mid,0
709.0,Germany,Male,45.0,4,122917.71,1,1,1,11.58,Mid,1
850.0,France,Female,39.0,2,0.0,2,1,0,179451.42,New,0
639.0,Spain,Male,29.0,4,133434.57,2,1,0,97983.44,Mid,0
672.0,Germany,Male,40.0,4,89025.88,2,1,0,188892.19,Mid,0
596.0,Spain,Male,60.0,7,121907.97,1,0,1,30314.04,Loyal,0
704.0,France,Male,50.0,4,165438.26,1,1,0,120770.75,Mid,1
721.0,Germany,Male,40.0,6,100275.88,1,1,0,138564.48,Loyal,1
547.0,Germany,Male,32.0,8,155726.85,1,1,0,67789.99,Loyal,0
734.0,France,Male,34.0,6,133598.4,1,1,1,13107.24,Loyal,0
605.0,France,Male,41.0,5,91612.91,1,1,1,28427.84,Mid,0
684.0,France,Male,60.0,2,116563.58,1,1,0,120257.7,New,1
612.0,Germany,Male,30.0,9,142910.15,1,1,0,105890.55,Loyal,1
674.0,Spain,Female,39.0,6,0.0,2,1,1,9574.83,Loyal,0
571.0,France,Female,35.0,1,104783.81,2,0,1,178512.52,New,0
597.0,Spain,Male,38.0,6,115702.67,2,1,1,25059.05,Loyal,0
647.0,Spain,Female,44.0,5,0.0,3,1,1,174205.22,Mid,1
695.0,France,Female,31.0,5,106089.2,1,0,0,99537.68,Mid,0
845.0,Spain,Female,52.0,0,0.0,1,1,0,31726.76,New,1
684.0,France,Female,25.0,1,0.0,2,0,1,144978.47,New,0
704.0,France,Male,32.0,7,127785.17,4,0,0,184464.7,Loyal,1
562.0,Germany,Male,31.0,4,127237.25,2,0,1,143317.42,Mid,0
694.0,France,Female,30.0,9,0.0,2,1,1,26960.31,Loyal,0
671.0,Spain,Male,58.0,1,178713.98,1,1,1,21768.21,New,0
583.0,Germany,Male,27.0,4,105907.42,2,1,1,195732.04,Mid,0
758.0,Germany,Male,32.0,4,162657.64,2,1,1,115525.13,Mid,0
617.0,France,Female,35.0,5,0.0,2,0,1,13066.3,Mid,0
731.0,France,Female,36.0,6,0.0,1,0,0,152128.36,Loyal,0
602.0,Spain,Female,22.0,7,141604.76,1,1,0,30379.6,Loyal,0
619.0,Germany,Female,52.0,8,124099.13,1,0,0,23904.52,Loyal,0
539.0,Spain,Male,39.0,2,0.0,2,1,1,48189.94,New,0
542.0,France,Female,43.0,8,145618.37,1,0,1,10350.74,Loyal,0
503.0,France,Male,32.0,4,0.0,2,1,1,153036.97,Mid,0
607.0,Germany,Female,39.0,8,105103.33,1,1,0,104721.5,Loyal,1
632.0,France,Male,62.0,3,83116.68,1,1,1,27597.76,Mid,0
570.0,France,Male,32.0,9,117337.54,2,0,1,62810.91,Loyal,0
546.0,France,Male,24.0,8,156325.38,1,1,1,125381.02,Loyal,0
628.0,Germany,Female,30.0,9,132351.29,2,1,1,74169.13,Loyal,0
614.0,France,Female,37.0,8,75150.34,4,0,1,131766.67,Loyal,1
693.0,Spain,Male,47.0,8,107604.66,1,1,1,80149.27,Loyal,0
729.0,France,Male,39.0,4,121404.64,1,1,1,159618.17,Mid,0
850.0,Spain,Male,38.0,1,146343.98,1,0,1,103902.11,New,0
763.0,Spain,Female,32.0,10,95153.77,1,0,1,81310.1,Loyal,0
850.0,France,Male,40.0,6,97339.99,1,0,1,88815.25,Loyal,0
527.0,Spain,Male,28.0,6,128396.33,2,1,0,79919.97,Loyal,0
696.0,France,Female,31.0,8,0.0,2,0,0,191074.11,Loyal,0
497.0,France,Male,47.0,6,0.0,1,1,1,90055.08,Loyal,0
635.0,Germany,Male,43.0,5,78992.75,2,0,0,153265.31,Mid,0
648.0,France,Female,38.0,2,0.0,2,0,1,9551.49,New,0
543.0,France,Male,35.0,5,137482.19,1,0,0,62389.35,Mid,0
485.0,France,Female,27.0,3,0.0,2,1,0,141449.86,Mid,0
694.0,France,Female,38.0,5,195926.39,1,1,1,85522.84,Mid,0
850.0,Spain,Male,54.0,7,108185.81,2,0,0,24093.4,Loyal,1
539.0,Germany,Female,43.0,3,116220.5,3,1,0,55803.96,Mid,1
534.0,France,Male,38.0,3,0.0,1,0,0,143938.27,Mid,0
721.0,Germany,Female,45.0,7,138523.2,1,0,0,59604.45,Loyal,1
548.0,Germany,Female,36.0,2,108913.84,2,1,1,140460.01,New,0
788.0,France,Male,55.0,3,0.0,1,0,1,13288.46,Mid,1
739.0,France,Female,30.0,6,0.0,1,0,0,122604.44,Loyal,0
631.0,Germany,Female,22.0,6,139129.92,1,1,1,63747.51,Loyal,0
705.0,France,Female,38.0,3,123894.43,1,1,0,21177.1,Mid,0
474.0,Spain,Male,37.0,3,0.0,2,0,0,57175.32,Mid,0
529.0,France,Male,62.0,8,103101.56,2,1,1,154002.02,Loyal,1
753.0,France,Male,32.0,6,177729.13,1,1,1,161642.08,Loyal,0
645.0,Spain,Male,44.0,8,113755.78,2,1,0,149756.71,Loyal,1
603.0,France,Male,38.0,8,59360.77,1,1,1,191457.06,Loyal,0
632.0,Germany,Female,35.0,2,150561.03,2,0,0,64722.61,New,0
782.0,France,Male,34.0,9,0.0,1,1,0,183021.06,Loyal,1
599.0,Spain,Male,42.0,6,0.0,2,1,0,113868.4,Loyal,0
772.0,France,Male,34.0,9,0.0,2,1,0,170980.86,Loyal,0
508.0,France,Male,31.0,8,72541.48,1,1,0,129803.08,Loyal,0
510.0,France,Male,44.0,6,0.0,2,1,1,175518.31,Loyal,0
581.0,France,Male,30.0,1,0.0,2,1,0,199464.08,New,0
675.0,France,Male,35.0,8,0.0,2,1,1,56642.97,Loyal,0
738.0,Spain,Male,38.0,5,177997.07,1,0,1,19233.41,Mid,0
699.0,Spain,Female,50.0,0,158633.61,1,1,0,193785.87,New,0
754.0,France,Female,38.0,2,0.0,2,0,0,3524.69,New,0
528.0,Germany,Female,46.0,9,135555.66,1,1,0,133146.03,Loyal,1
586.0,Germany,Female,47.0,5,157099.47,2,1,1,65481.86,Mid,0
629.0,France,Female,39.0,10,0.0,2,1,1,43174.49,Loyal,1
748.0,Spain,Male,36.0,4,141573.55,1,1,0,82158.14,Mid,0
507.0,Spain,Female,29.0,6,0.0,2,0,1,94780.9,Loyal,0
618.0,France,Male,39.0,2,91068.56,1,1,0,26578.69,New,0
667.0,Spain,Female,34.0,5,0.0,2,1,0,163830.64,Mid,0
623.0,Germany,Male,42.0,1,149332.48,2,1,0,100834.22,New,0
609.0,France,Male,26.0,10,126392.18,1,0,1,43651.49,Loyal,0
659.0,France,Male,54.0,8,133436.52,1,1,0,56787.8,Loyal,0
626.0,France,Female,39.0,0,0.0,2,1,1,83295.09,New,0
680.0,Germany,Female,51.0,5,143139.87,1,0,0,47795.43,Mid,1
558.0,France,Male,40.0,6,0.0,2,1,0,173844.89,Loyal,0
651.0,Germany,Female,41.0,4,133432.59,1,0,1,151303.48,Mid,0
614.0,Germany,Female,31.0,7,120599.38,2,1,1,46163.44,Loyal,0
821.0,France,Male,28.0,2,0.0,2,1,0,46072.52,New,0
660.0,Germany,Male,30.0,1,84440.1,2,1,1,60485.98,New,0
700.0,France,Female,62.0,2,0.0,2,0,1,182055.36,New,0
650.0,Germany,Female,25.0,2,114330.95,1,1,1,25325.07,New,0
668.0,France,Female,46.0,2,0.0,3,1,0,89048.46,New,1
516.0,France,Female,42.0,8,56228.25,1,1,0,46857.52,Loyal,0
610.0,Spain,Male,46.0,5,91897.8,1,1,0,54394.28,Mid,0
627.0,France,Female,32.0,1,0.0,1,1,0,106851.7,New,0
699.0,France,Male,62.0,9,113109.52,1,1,0,27980.8,Loyal,1
521.0,Spain,Female,49.0,4,82940.25,2,0,0,62413.01,Mid,1
511.0,Germany,Female,41.0,8,153895.65,1,1,1,39087.42,Loyal,0
676.0,France,Male,33.0,6,171490.78,1,0,0,79099.64,Loyal,0
526.0,Spain,Female,43.0,3,0.0,2,1,0,31705.19,Mid,0
769.0,France,Female,38.0,2,0.0,2,0,0,75578.67,New,0
751.0,Germany,Male,36.0,5,73194.99,1,1,1,89222.66,Mid,0
585.0,Germany,Female,39.0,7,165610.41,2,0,0,131852.01,Loyal,0
610.0,France,Male,41.0,6,0.0,3,0,0,56118.81,Loyal,1
703.0,France,Male,37.0,1,149762.08,1,1,0,20629.4,New,1
438.0,Spain,Female,54.0,2,0.0,1,0,0,191763.07,New,1
636.0,France,Female,38.0,1,0.0,1,1,0,45015.38,New,0
755.0,France,Male,62.0,1,127706.33,2,0,1,142377.69,New,0
708.0,Germany,Female,42.0,8,192390.52,2,1,0,823.36,Loyal,0
605.0,Spain,Female,48.0,6,0.0,2,1,1,40062.99,Loyal,0
644.0,France,Male,48.0,8,0.0,2,0,1,44965.54,Loyal,1
542.0,Germany,Male,25.0,8,139330.1,1,0,0,54372.37,Loyal,0
558.0,France,Female,41.0,6,0.0,1,1,1,143585.29,Loyal,1
579.0,France,Female,39.0,3,166501.17,2,1,0,93835.64,Mid,0
